"","FOUND_BY","PREFERRED_NAME","INCHIKEY","SMILES","INCHI_STRING","MOLECULAR_FORMULA","MONOISOTOPIC_MASS","MS_READY_SMILES","QSAR_READY_SMILES","BIOCONCENTRATION_FACTOR_TEST_PRED","BOILING_POINT_DEGC_TEST_PRED","X48HR_DAPHNIA_LC50_MOL.L_TEST_PRED","DENSITY_G.CM.3_TEST_PRED","DEVTOX_TEST_PRED","X96HR_FATHEAD_MINNOW_MOL.L_TEST_PRED","FLASH_POINT_DEGC_TEST_PRED","MELTING_POINT_DEGC_TEST_PRED","AMES_MUTAGENICITY_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","SURFACE_TENSION_DYN.CM_TEST_PRED","THERMAL_CONDUCTIVITY_MW..M.K._TEST_PRED","TETRAHYMENA_PYRIFORMIS_IGC50_MOL.L_TEST_PRED","VISCOSITY_CP_CP_TEST_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","WATER_SOLUBILITY_MOL.L_TEST_PRED","ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED","BIOCONCENTRATION_FACTOR_OPERA_PRED","BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED","BOILING_POINT_DEGC_OPERA_PRED","HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED","OPERA_KM_DAYS_OPERA_PRED","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","MELTING_POINT_DEGC_OPERA_PRED","VAPOR_PRESSURE_MMHG_OPERA_PRED","WATER_SOLUBILITY_MOL.L_OPERA_PRED","atom_stereo_count","bond_stereo_count","canonical_smiles","charge","cid","complexity","covalent_unit_count","defined_atom_stereo_count","defined_bond_stereo_count","exact_mass","h_bond_acceptor_count","h_bond_donor_count","heavy_atom_count","inchi","isomeric_smiles","iupac_name","molecular_formula","molecular_weight","monoisotopic_mass","rotatable_bond_count","tpsa","undefined_atom_stereo_count","undefined_bond_stereo_count","xlogp"
"15844","InChIKey","6-Hydroxy-9b-methyl-7-(propan-2-yl)-3b,4,5,9b,10,11-hexahydrophenanthro[1,2-c]furan-1(3H)-one","KPXIBWGPZSPABK-FXAWDEMLSA-N","[H][C@@]12CCC3=C(C=CC(C(C)C)=C3O)[C@@]1(C)CCC1=C2COC1=O","InChI=1S/C20H24O3/c1-11(2)12-4-6-16-14(18(12)21)5-7-17-15-10-23-19(22)13(15)8-9-20(16,17)3/h4,6,11,17,21H,5,7-10H2,1-3H3/t17-,20+/m0/s1","C20H24O3","312.1725446","CC(C)C1=C(O)C2=C(C=C1)C1(C)CCC3=C(COC3=O)C1CC2","CC(C)C1=C(O)C2=C(C=C1)C1(C)CCC3=C(COC3=O)C1CC2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.44949E-11","101.292","85.0378","376.714","1.43646E-09","2.49673","10.5416","563498","3.38159","198.64","2.50465E-09","2.41873E-05",2,0,"CC(C)C1=C(C2=C(C=C1)C3(CCC4=C(C3CC2)COC4=O)C)O",0,173273,549,1,2,0,312.17254463,3,1,23,"InChI=1S/C20H24O3/c1-11(2)12-4-6-16-14(18(12)21)5-7-17-15-10-23-19(22)13(15)8-9-20(16,17)3/h4,6,11,17,21H,5,7-10H2,1-3H3/t17-,20+/m0/s1","CC(C)C1=C(C2=C(C=C1)[C@]3(CCC4=C([C@@H]3CC2)COC4=O)C)O","(3bR,9bS)-6-hydroxy-9b-methyl-7-propan-2-yl-3,3b,4,5,10,11-hexahydronaphtho[2,1-e][2]benzofuran-1-one","C20H24O3",312.4,312.17254463,1,46.5,0,0,4
"15845","InChIKey","(-)-Catechin gallate","LSHVYAFMTMFKBA-CTNGQTDRSA-N","OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C1=CC(O)=C(O)C=C1","InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21+/m1/s1","C22H18O10","442.0899968","Oc1cc(O)c2CC(OC(=O)c3cc(O)c(O)c(O)c3)C(Oc2c1)c1ccc(O)c(O)c1","Oc1cc(O)c2CC(OC(=O)c3cc(O)c(O)c(O)c3)C(Oc2c1)c1ccc(O)c(O)c1","6.96627","559.794","1.53462E-05","1.945","0.731","1.07647E-07","357.029","263.122","0.897","0.00468813","-","-","1.09144E-06","-","2.14289E-13","0.00114288","1.75013E-11","11.0334","95.0965","378.752","1.67485E-11","0.316006","9.55679","62746.4","2.54165","216.684","1.50514E-09","0.00164629",2,0,"C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O",0,6419835,649,1,2,0,442.08999678,10,7,32,"InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21+/m1/s1","C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O","[(2S,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate","C22H18O10",442.4,442.08999678,4,177,0,0,1.5
"15846","InChIKey","L-Ascorbic acid","CIWBSHSKHKDKBQ-JLAZNSOCSA-N","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO","InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1","C6H8O6","176.032088","OCC(O)C1OC(=O)C(=O)C1O","OCC(O)C1OC(=O)C(=O)C1O","-","364.9","0.00514044","1.683","0.259","0.0931108","230.648","161.445","-0.008","0.0885116","-","-","-","9.977","4.48745E-09","2.36592","8.13797E-12","2.05358","3.53988","274.055","8.44548E-10","0.0921521","8.12372","151.535","-1.85074","168.514","1.2512E-07","2.07263",2,0,"C(C(C1C(=C(C(=O)O1)O)O)O)O",0,54670067,232,1,2,0,176.03208798,6,4,12,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1","C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O","(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one","C6H8O6",176.12,176.03208798,2,107,0,0,-1.6
"16029","InChIKey","2-Nitrophenol","IQUPABOKLQSFBK-UHFFFAOYSA-N","OC1=C(C=CC=C1)[N+]([O-])=O","InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H","C6H5NO3","139.026943","OC1=C(C=CC=C1)[N+]([O-])=O","OC1=C(C=CC=C1)[N+]([O-])=O","5.91562","257.478","0.000105439","1.383","0.192","0.000369828","111.682","57.156","0.213","0.0057544","-","150.059","0.000262422","7.17794","0.0192752","0.0174181","9.01012E-13","21.8159","4.08089","216.081","1.27879E-05","0.248302","5.70368","71.67","1.79184","44.8587","0.111661","0.0179178",0,0,"C1=CC=C(C(=C1)[N+](=O)[O-])O",0,6947,131,1,0,0,139.026943024,3,1,10,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H","C1=CC=C(C(=C1)[N+](=O)[O-])O","2-nitrophenol","C6H5NO3",139.11,139.026943024,0,66,0,0,1.8
"16394","InChIKey","Hentriacontan-12-ol","JWCYAXPQYDKVQD-UHFFFAOYSA-N","CCCCCCCCCCCCCCCCCCCC(O)CCCCCCCCCCC","InChI=1S/C31H64O/c1-3-5-7-9-11-13-14-15-16-17-18-19-20-22-24-26-28-30-31(32)29-27-25-23-21-12-10-8-6-4-2/h31-32H,3-30H2,1-2H3","C31H64O","452.4957167","CCCCCCCCCCCCCCCCCCCC(O)CCCCCCCCCCC","CCCCCCCCCCCCCCCCCCCC(O)CCCCCCCCCCC","37.325","501.813","1.56315E-06","0.758","0.469","7.14496E-09","237.944","52.006","-0.011","0.0331894","31.888","154.58","3.26588E-08","71.6143","2.00909E-11","3.75837E-08","1.17911E-11","54.2819","176.159","440.51","5.45307E-08","2.87435","10.2429","19926.6","8.23595","19.0816","9.15162E-11","1.10826E-06",1,0,"CCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCC)O",0,71350465,314,1,0,0,452.49571668,1,1,32,"InChI=1S/C31H64O/c1-3-5-7-9-11-13-14-15-16-17-18-19-20-22-24-26-28-30-31(32)29-27-25-23-21-12-10-8-6-4-2/h31-32H,3-30H2,1-2H3","CCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCC)O","hentriacontan-12-ol","C31H64O",452.8,452.49571668,28,20.2,1,0,15.1
"16555","InChIKey","Liriodendrin","FFDULTAFAQRACT-NYYYOYJKSA-N","COC1=CC(=CC(OC)=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]1OC[C@@H]2[C@H]1CO[C@H]2C1=CC(OC)=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(OC)=C1","InChI=1S/C34H46O18/c1-43-17-5-13(6-18(44-2)31(17)51-33-27(41)25(39)23(37)21(9-35)49-33)29-15-11-48-30(16(15)12-47-29)14-7-19(45-3)32(20(8-14)46-4)52-34-28(42)26(40)24(38)22(10-36)50-34/h5-8,15-16,21-30,33-42H,9-12H2,1-4H3/t15-,16-,21-,22-,23-,24-,25+,26+,27-,28-,29+,30+,33+,34+/m1/s1","C34H46O18","742.2684146","COC1=CC(=CC(OC)=C1OC1OC(CO)C(O)C(O)C1O)C1OCC2C1COC2C1=CC(OC)=C(OC2OC(CO)C(O)C(O)C2O)C(OC)=C1","COC1=CC(=CC(OC)=C1OC1OC(CO)C(O)C(O)C1O)C1OCC2C1COC2C1=CC(OC)=C(OC2OC(CO)C(O)C(O)C2O)C(OC)=C1","-","723.056","0.000517607","1.682","-","-","398.536","232.077","0.302","0.00041115","-","-","-","-","8.16582E-09","0.00250035","2.94259E-11","4.00366","12.5921","381.224","1.94548E-11","0.227621","9.58434","30532.8","0.895485","251.439","9.30874E-10","0.00132476",14,0,"COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C3C4COC(C4CO3)C5=CC(=C(C(=C5)OC)OC6C(C(C(C(O6)CO)O)O)O)OC",0,442830,1010,1,14,0,742.26841464,18,8,52,"InChI=1S/C34H46O18/c1-43-17-5-13(6-18(44-2)31(17)51-33-27(41)25(39)23(37)21(9-35)49-33)29-15-11-48-30(16(15)12-47-29)14-7-19(45-3)32(20(8-14)46-4)52-34-28(42)26(40)24(38)22(10-36)50-34/h5-8,15-16,21-30,33-42H,9-12H2,1-4H3/t15-,16-,21-,22-,23-,24-,25+,26+,27-,28-,29+,30+,33+,34+/m1/s1","COC1=CC(=CC(=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)[C@H]3[C@@H]4CO[C@H]([C@@H]4CO3)C5=CC(=C(C(=C5)OC)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)OC","(2S,3R,4S,5S,6R)-2-[4-[(3R,3aS,6R,6aS)-6-[3,5-dimethoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2,6-dimethoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","C34H46O18",742.7,742.26841464,12,254,0,0,-1.4
"16670","InChIKey","Tricin","HRGUSFBJBOKSML-UHFFFAOYSA-N","COC1=CC(=CC(OC)=C1O)C1=CC(=O)C2=C(O)C=C(O)C=C2O1","InChI=1S/C17H14O7/c1-22-14-3-8(4-15(23-2)17(14)21)12-7-11(20)16-10(19)5-9(18)6-13(16)24-12/h3-7,18-19,21H,1-2H3","C17H14O7","330.0739528","COC1=CC(=CC(OC)=C1O)C1=CC(=O)C2=C(O)C=C(O)C=C2O1","COC1=CC(=CC(OC)=C1O)C1=CC(=O)C2=C(O)C=C(O)C=C2O1","12.1339","472.001","1.79061E-05","1.532","0.782","1.3213E-06","242.423","243.178","0.322","0.000714496","-","-","5.97035E-05","-","4.13048E-10","0.000445656","1.73911E-11","79.3525","6.68842","400.343","7.71764E-11","0.204682","9.29328","960.942","2.20561","248.281","2.28674E-09","0.00003171",0,0,"COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O",0,5281702,491,1,0,0,330.07395279,7,3,24,"InChI=1S/C17H14O7/c1-22-14-3-8(4-15(23-2)17(14)21)12-7-11(20)16-10(19)5-9(18)6-13(16)24-12/h3-7,18-19,21H,1-2H3","COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O","5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)chromen-4-one","C17H14O7",330.29,330.07395279,3,105,0,0,1.7
"16807","Indigo InChIKey","alpha-Cucurmene","VMYXUZSZMNBRCN-UHFFFAOYSA-N","CC(CCC=C(C)C)C1=CC=C(C)C=C1","InChI=1/C15H22/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-11,14H,5,7H2,1-4H3","C15H22","202.1721507","CC(CCC=C(C)C)C1=CC=C(C)C=C1","CC(CCC=C(C)C)C1=CC=C(C)C=C1","941.89","277.644","1.23027E-06","0.893","0.909","4.29536E-06","114.584","3.79","-","0.0211349","28.286","126.204","6.77641E-06","5.99791","0.00480839","4.30527E-06","7.91977E-11","430.555","3.18491","278.857","0.00077318","1.68861","6.76885","1273.96","6.00549","-58.5763","0.0219561","1.60888E-06",1,0,"CC1=CC=C(C=C1)C(C)CCC=C(C)C",0,92139,190,1,0,0,202.17215071,0,0,15,"InChI=1S/C15H22/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-11,14H,5,7H2,1-4H3","CC1=CC=C(C=C1)C(C)CCC=C(C)C","1-methyl-4-(6-methylhept-5-en-2-yl)benzene","C15H22",202.33,202.17215071,4,0,1,0,5.4
"16823","InChIKey","Cirsimaritin","ZIIAJIWLQUVGHB-UHFFFAOYSA-N","COC1=C(OC)C(O)=C2C(=O)C=C(OC2=C1)C1=CC=C(O)C=C1","InChI=1S/C17H14O6/c1-21-14-8-13-15(16(20)17(14)22-2)11(19)7-12(23-13)9-3-5-10(18)6-4-9/h3-8,18,20H,1-2H3","C17H14O6","314.0790382","COC1=C(OC)C(O)=C2C(=O)C=C(OC2=C1)C1=CC=C(O)C=C1","COC1=C(OC)C(O)=C2C(=O)C=C(OC2=C1)C1=CC=C(O)C=C1","27.4789","466.153","1.76604E-05","1.459","0.813","1.69434E-06","228.142","222.011","0.454","0.000464515","-","-","0.000055335","55.847","2.25424E-09","0.000338844","1.38389E-11","53.6629","3.35066","405.094","1.19571E-10","0.173133","9.31445","294.895","3.05639","227.934","4.40508E-09","0.000038038",0,0,"COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC",0,188323,468,1,0,0,314.07903817,6,2,23,"InChI=1S/C17H14O6/c1-21-14-8-13-15(16(20)17(14)22-2)11(19)7-12(23-13)9-3-5-10(18)6-4-9/h3-8,18,20H,1-2H3","COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC","5-hydroxy-2-(4-hydroxyphenyl)-6,7-dimethoxychromen-4-one","C17H14O6",314.29,314.07903817,3,85.2,0,0,2
"16824","InChIKey","Hispidulin","IHFBPDAQLQOCBX-UHFFFAOYSA-N","COC1=C(O)C2=C(OC(=CC2=O)C2=CC=C(O)C=C2)C=C1O","InChI=1S/C16H12O6/c1-21-16-11(19)7-13-14(15(16)20)10(18)6-12(22-13)8-2-4-9(17)5-3-8/h2-7,17,19-20H,1H3","C16H12O6","300.0633881","COC1=C(O)C2=C(OC(=CC2=O)C2=CC=C(O)C=C2)C=C1O","COC1=C(O)C2=C(OC(=CC2=O)C2=CC=C(O)C=C2)C=C1O","14.3219","460.352","1.51705E-05","1.543","0.854","1.62555E-06","233.157","262.688","0.121","0.00447713","-","-","6.28058E-05","58.7489","1.02329E-09","0.000512861","1.3851E-11","44.8881","6.94293","398.804","8.67115E-11","0.145648","9.26724","266.079","2.59966","273.396","1.50117E-09","0.000374845",0,0,"COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O",0,5281628,454,1,0,0,300.0633881,6,3,22,"InChI=1S/C16H12O6/c1-21-16-11(19)7-13-14(15(16)20)10(18)6-12(22-13)8-2-4-9(17)5-3-8/h2-7,17,19-20H,1H3","COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O","5,7-dihydroxy-2-(4-hydroxyphenyl)-6-methoxychromen-4-one","C16H12O6",300.26,300.0633881,2,96.2,0,0,1.7
"16842","InChIKey","Eupafolin","FHHSEFRSDKWJKJ-UHFFFAOYSA-N","COC1=C(O)C2=C(OC(=CC2=O)C2=CC(O)=C(O)C=C2)C=C1O","InChI=1S/C16H12O7/c1-22-16-11(20)6-13-14(15(16)21)10(19)5-12(23-13)7-2-3-8(17)9(18)4-7/h2-6,17-18,20-21H,1H3","C16H12O7","316.0583027","COC1=C(O)C2=C(OC(=CC2=O)C2=CC(O)=C(O)C=C2)C=C1O","COC1=C(O)C2=C(OC(=CC2=O)C2=CC(O)=C(O)C=C2)C=C1O","17.2982","485.534","1.05196E-05","1.655","0.803","1.83231E-06","256.295","285.401","0.2","0.00266073","-","-","6.44169E-05","-","9.07821E-11","0.000682339","1.73721E-11","9.6931","34.4641","381.391","1.07933E-10","0.143388","9.40788","275.282","2.04511","304.035","5.17966E-09","3.99978E-05",0,0,"COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O",0,5317284,491,1,0,0,316.05830272,7,4,23,"InChI=1S/C16H12O7/c1-22-16-11(20)6-13-14(15(16)21)10(19)5-12(23-13)7-2-3-8(17)9(18)4-7/h2-6,17-18,20-21H,1H3","COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-methoxychromen-4-one","C16H12O7",316.26,316.05830272,2,116,0,0,1.4
"16846","InChIKey","4-Methylbenzo(g)quinoline-5,10-dione","GVRYUHXXENMGEV-UHFFFAOYSA-N","CC1=C2C(=O)C3=CC=CC=C3C(=O)C2=NC=C1","InChI=1S/C14H9NO2/c1-8-6-7-15-12-11(8)13(16)9-4-2-3-5-10(9)14(12)17/h2-7H,1H3","C14H9NO2","223.0633285","CC1=C2C(=O)C3=CC=CC=C3C(=O)C2=NC=C1","CC1=C2C(=O)C3=CC=CC=C3C(=O)C2=NC=C1","65.7658","373.147","4.72063E-05","1.285","0.56","1.74181E-05","192.237","166.049","0.614","0.0143219","-","-","0.000203704","20.4174","4.21696E-08","2.66686E-06","1.67658E-11","35.1592","6.19723","344.168","3.58397E-08","0.237872","8.95422","2703.44","2.73303","176.996","3.98567E-07","7.76263E-05",0,0,"CC1=C2C(=NC=C1)C(=O)C3=CC=CC=C3C2=O",0,457732,352,1,0,0,223.063328534,3,0,17,"InChI=1S/C14H9NO2/c1-8-6-7-15-12-11(8)13(16)9-4-2-3-5-10(9)14(12)17/h2-7H,1H3","CC1=C2C(=NC=C1)C(=O)C3=CC=CC=C3C2=O","4-methylbenzo[g]quinoline-5,10-dione","C14H9NO2",223.23,223.063328534,0,47,0,0,2.5
"16847","InChIKey","Liriodenine","MUMCCPUVOAUBAN-UHFFFAOYSA-N","O=C1C2=CC=CC=C2C2=C3C(C=CN=C13)=CC1=C2OCO1","InChI=1S/C17H9NO3/c19-16-11-4-2-1-3-10(11)14-13-9(5-6-18-15(13)16)7-12-17(14)21-8-20-12/h1-7H,8H2","C17H9NO3","275.0582432","O=C1C2=CC=CC=C2C2=C3C(C=CN=C13)=CC1=C2OCO1","O=C1C2=CC=CC=C2C2=C3C(C=CN=C13)=CC1=C2OCO1","84.918","474.762","5.5847E-06","1.393","0.671","1.12202E-06","232.489","241.471","0.862","-","-","-","3.67282E-05","-","6.82339E-12","3.81944E-08","1.38106E-11","26.5835","14.6825","414.938","1.1739E-07","1.1177","10.3465","476957","2.49235","184.629","2.30194E-09","6.5815E-07",0,0,"C1OC2=C(O1)C3=C4C(=C2)C=CN=C4C(=O)C5=CC=CC=C53",0,10144,453,1,0,0,275.058243153,4,0,21,"InChI=1S/C17H9NO3/c19-16-11-4-2-1-3-10(11)14-13-9(5-6-18-15(13)16)7-12-17(14)21-8-20-12/h1-7H,8H2","C1OC2=C(O1)C3=C4C(=C2)C=CN=C4C(=O)C5=CC=CC=C53","3,5-dioxa-11-azapentacyclo[10.7.1.02,6.08,20.014,19]icosa-1(20),2(6),7,9,11,14,16,18-octaen-13-one","C17H9NO3",275.26,275.058243153,0,48.4,0,0,3.4
"16848","InChIKey","Quinoline","SMWDFEZZVXVKRB-UHFFFAOYSA-N","C1=CC2=C(C=C1)N=CC=C2","InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H","C9H7N","129.0578492","C1=CC2=C(C=C1)N=CC=C2","C1=CC2=C(C=C1)N=CC=C2","17.1396","239.117","9.88553E-05","1.102","0.468","0.000146218","103.753","12.595","0.888","0.00465586","39.481","141.384","0.000826038","3.19154","0.0293765","0.0323594","1.16677E-11","3.81323","13.7434","237.234","8.66445E-06","0.0472569","5.20741","1254.8","2.03132","-12.609","0.0595784","0.0479786",0,0,"C1=CC=C2C(=C1)C=CC=N2",0,7047,111,1,0,0,129.05784923,1,0,10,"InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H","C1=CC=C2C(=C1)C=CC=N2","quinoline","C9H7N",129.16,129.05784923,0,12.9,0,0,2
"16849","InChIKey","4H-1-Benzopyran-4-one, 5,7-dihydroxy-2-methyl-","NCUJRUDLFCGVOE-UHFFFAOYSA-N","CC1=CC(=O)C2=C(O)C=C(O)C=C2O1","InChI=1S/C10H8O4/c1-5-2-7(12)10-8(13)3-6(11)4-9(10)14-5/h2-4,11,13H,1H3","C10H8O4","192.0422587","CC1=CC(=O)C2=C(O)C=C(O)C=C2O1","CC1=CC(=O)C2=C(O)C=C(O)C=C2O1","5.2723","326.01","2.95801E-05","1.416","0.568","3.46737E-05","183.424","158.251","0.709","0.00659174","42.939","153.898","1.77011E-05","16.6725","8.45279E-06","0.00778037","1.36414E-11","10.5141","4.36402","312.989","7.30323E-10","0.13777","8.10418","413.123","1.5269","144.724","2.13471E-07","0.0350458",0,0,"CC1=CC(=O)C2=C(C=C(C=C2O1)O)O",0,5375252,284,1,0,0,192.042258736,4,2,14,"InChI=1S/C10H8O4/c1-5-2-7(12)10-8(13)3-6(11)4-9(10)14-5/h2-4,11,13H,1H3","CC1=CC(=O)C2=C(C=C(C=C2O1)O)O","5,7-dihydroxy-2-methylchromen-4-one","C10H8O4",192.17,192.042258736,0,66.8,0,0,0.8
"17074","InChIKey","(+)-Schisandrin B","RTZKSTLPRTWFEV-OLZOCXBDSA-N","COC1=C(OC)C(OC)=C2C(C[C@@H](C)[C@@H](C)CC3=CC4=C(OCO4)C(OC)=C23)=C1","InChI=1S/C23H28O6/c1-12-7-14-9-16(24-3)20(25-4)22(26-5)18(14)19-15(8-13(12)2)10-17-21(23(19)27-6)29-11-28-17/h9-10,12-13H,7-8,11H2,1-6H3/t12-,13+/m1/s1","C23H28O6","400.1885886","COC1=C(OC)C(OC)=C2C(CC(C)C(C)CC3=CC4=C(OCO4)C(OC)=C23)=C1","COC1=C(OC)C(OC)=C2C(CC(C)C(C)CC3=CC4=C(OCO4)C(OC)=C23)=C1","193.197","458.658","1.61808E-06","1.174","0.805","3.70681E-07","186.31","144.874","0.318","0.000021727","-","-","-","-","1.34276E-08","1.15878E-05","2.30474E-11","113.301","15.2636","424.718","4.59603E-06","3.91089","11.7019","153248","2.8003","97.8607","1.44267E-10","2.23155E-05",2,0,"CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3",0,158103,544,1,2,0,400.18858862,6,0,29,"InChI=1S/C23H28O6/c1-12-7-14-9-16(24-3)20(25-4)22(26-5)18(14)19-15(8-13(12)2)10-17-21(23(19)27-6)29-11-28-17/h9-10,12-13H,7-8,11H2,1-6H3/t12-,13+/m1/s1","C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4C[C@H]1C)OC)OC)OC)OC)OCO3","(9R,10S)-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaene","C23H28O6",400.5,400.18858862,4,55.4,0,0,5.1
"17075","InChIKey","Cubebol","KONGRWVLXLWGDV-BYGOPZEFSA-N","CC(C)[C@@H]1CC[C@@H](C)[C@@]23CC[C@](C)(O)[C@@H]2[C@@H]13","InChI=1S/C15H26O/c1-9(2)11-6-5-10(3)15-8-7-14(4,16)13(15)12(11)15/h9-13,16H,5-8H2,1-4H3/t10-,11+,12-,13+,14+,15-/m1/s1","C15H26O","222.1983655","CC(C)C1CCC(C)C23CCC(C)(O)C2C13","CC(C)C1CCC(C)C23CCC(C)(O)C2C13","695.024","278.624","4.09261E-06","1.021","0.605","9.57194E-06","123.726","94.898","0.248","0.00648634","33.021","-","-","-","5.39511E-05","0.000292415","2.38095E-11","246.479","177.793","288.117","1.73488E-05","4.53805","9.21781","2536.31","4.00275","102.302","0.00659049","0.000386163",6,0,"CC1CCC(C2C13C2C(CC3)(C)O)C(C)C",0,11276107,311,1,6,0,222.19836546,1,1,16,"InChI=1S/C15H26O/c1-9(2)11-6-5-10(3)15-8-7-14(4,16)13(15)12(11)15/h9-13,16H,5-8H2,1-4H3/t10-,11+,12-,13+,14+,15-/m1/s1","C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2[C@@](CC3)(C)O)C(C)C","(1R,4S,5R,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]decan-4-ol","C15H26O",222.37,222.19836546,1,20.2,0,0,3.9
