INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,IUPAC_NAME,QSAR_READY_SMILES,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED
PFTAWBLQPZVEMU-DZGCQCFKSA-N,InChIKey,DTXSID3022322,Cianidanol,DTXCID202322,154-23-4,"(2R,3S)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",OC1CC2=C(OC1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O,4.83059,436.455,1.30E-05,1.675,0.686,5.14E-06,291.763,272.05,0.53,0.0030761,-,-,3.56E-05,44.0555,7.00E-10,0.00557186
PFTAWBLQPZVEMU-UKRRQHHQSA-N,InChIKey,DTXSID4045133,(-)-Epicatechin,DTXCID2025133,490-46-0,"(2R,3R)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",OC1CC2=C(OC1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O,4.83059,436.455,1.30E-05,1.675,0.686,5.14E-06,291.763,272.05,0.53,0.0030761,-,-,3.56E-05,44.0555,7.00E-10,0.00557186
LWEHRPZXRYZMDC-UJPOAAIJSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WCGUUGGRBIKTOS-GPOJBZKASA-N,InChIKey,DTXSID70883221,(+)-Ursolic acid,DTXCID201022770,77-52-1,3beta-Hydroxyurs-12-en-28-oic acid,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(O)=O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CUOZRGBQTOSWAY-PWEPJYDOSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMZFNIMQBCBHEX-APNSOIJXSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WKKBYJLXSKPKSC-JVJIQXRHSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CMZFNIMQBCBHEX-JRIAKSEUSA-N,InChIKey,DTXSID001019848,Sericoside,DTXCID501477720,55306-04-2,"1-O-(2alpha,3beta,19alpha,24-Tetrahydroxy-28-oxoolean-12-en-28-yl)-beta-D-glucopyranose",CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1O)C(=O)OC1OC(CO)C(O)C(O)C1O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KZJWDPNRJALLNS-VJSFXXLFSA-N,InChIKey,DTXSID5022481,beta-Sitosterol,DTXCID802481,83-46-5,Stigmast-5-en-3beta-ol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,785.236,408.379,9.18E-07,0.899,0.963,1.40E-07,213.344,128.118,0.226,0.00215774,37.034,-,-,-,3.06E-08,1.39E-07
NPJICTMALKLTFW-OFUAXYCQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PGOYMURMZNDHNS-MYPRUECHSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MIJYXULNPSFWEK-GTOFXWBISA-N,InChIKey,DTXSID50858790,Oleanolic acid,DTXCID701474453,508-02-1,3beta-Hydroxyolean-12-en-28-oic acid,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1)C(O)=O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GCTJLTJFQJWMAB-IAKTWSEQSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QBNRQKFLWJOWBD-IKPGRFEGSA-N,InChIKey,DTXSID40952150,"7',10-Dimethoxyemetan-6',11-diol",DTXCID101380250,29700-91-2,"7',10-Dimethoxyemetan-6',11-diol",CCC1CN2CCC3=CC(OC)=C(O)C=C3C2CC1CC1NCCC2=CC(O)=C(OC)C=C12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RXHZLYKOFROSQK-XEZPLFJOSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
